Full sealed-sector lists (best variant = A and B, identical).
  ( 1,22) type=1 normal           Item= 227 addl=0
  ( 4,22) type=1 normal           Item= 228 addl=0
  ( 6,22) type=1 normal           Item= 229 addl=0
  ( 7,22) type=1 normal           Item= 230 addl=0
  ( 8,22) type=1 normal           Item= 231 addl=0
  ( 9,22) type=1 normal           Item= 232 addl=0
  (11,22) type=1 normal           Item= 233 addl=0
  (13,22) type=1 normal           Item= 234 addl=0
  (14,22) type=1 normal           Item= 235 addl=0
  (15,22) type=1 normal           Item= 236 addl=0
  (16,22) type=1 normal           Item= 322 addl=0
  (18,22) type=1 normal           Item= 238 addl=0
  (19,22) type=1 normal           Item= 239 addl=0
  (20,22) type=1 normal           Item= 240 addl=0
  (22,22) type=1 normal           Item=  -1 addl=0
  (23,22) type=1 normal           Item= 241 addl=0
  (24,22) type=1 normal           Item= 242 addl=0
  (25,22) type=1 normal           Item= 243 addl=0
  (27,22) type=1 normal           Item= 244 addl=0
  (29,22) type=1 normal           Item= 245 addl=0
  ( 1,23) type=1 normal           Item=  -1 addl=0
  ( 3,23) type=1 normal           Item= 246 addl=0
  ( 4,23) type=1 normal           Item=  -1 addl=0
  ( 5,23) type=1 normal           Item= 247 addl=0
  ( 6,23) type=1 normal           Item= 248 addl=0
  ( 9,23) type=1 normal           Item= 249 addl=0
  (13,23) type=1 normal           Item=  -1 addl=0
  (18,23) type=1 normal           Item= 250 addl=0
  (20,23) type=1 normal           Item= 251 addl=0
  (21,23) type=1 normal           Item= 252 addl=0
  (22,23) type=1 normal           Item= 253 addl=0
  (24,23) type=1 normal           Item=  -1 addl=0
  (27,23) type=1 normal           Item=  -1 addl=0
  (28,23) type=1 normal           Item=  -1 addl=0
  (29,23) type=1 normal           Item=  -1 addl=0
  ( 1,24) type=1 normal           Item= 254 addl=0
  ( 8,24) type=1 normal           Item=  -1 addl=0
  ( 9,24) type=1 normal           Item=  -1 addl=0
  (10,24) type=1 normal           Item=  -1 addl=0
  (11,24) type=1 normal           Item=  -1 addl=0
  (12,24) type=1 normal           Item=  40 addl=0
  (13,24) type=1 normal           Item=  -1 addl=0
  (14,24) type=1 normal           Item= 255 addl=0
  (16,24) type=1 normal           Item=  -1 addl=0
  (18,24) type=1 normal           Item=  -1 addl=0
  (20,24) type=1 normal           Item=  -1 addl=0
  (26,24) type=1 normal           Item= 256 addl=0
  (27,24) type=1 normal           Item= 257 addl=0
  ( 1,25) type=1 normal           Item=  -1 addl=0
  ( 2,25) type=1 normal           Item= 318 addl=0
  ( 4,25) type=7 pillar           Item=   2 addl=0
  ( 6,25) type=7 pillar           Item=   7 addl=0
  ( 8,25) type=1 normal           Item=  -1 addl=0
  (12,25) type=7 pillar           Item=  39 addl=0
  (16,25) type=1 normal           Item= 258 addl=0
  (17,25) type=1 normal           Item= 259 addl=0
  (18,25) type=1 normal           Item=  -1 addl=0
  (23,25) type=1 normal           Item=  56 addl=0
  (27,25) type=1 normal           Item=  -1 addl=0
  (28,25) type=1 normal           Item= 260 addl=0
  (29,25) type=1 normal           Item=  -1 addl=0
  ( 1,26) type=1 normal           Item= 261 addl=0
  ( 2,26) type=1 normal           Item= 319 addl=0
  ( 7,26) type=1 normal           Item= 264 addl=0
  ( 8,26) type=1 normal           Item= 265 addl=0
  ( 9,26) type=1 normal           Item= 266 addl=0
  (10,26) type=1 normal           Item= 334 addl=0
  (14,26) type=7 pillar           Item=  27 addl=0
  (18,26) type=1 normal           Item=  -1 addl=0
  (20,26) type=1 normal           Item= 268 addl=0
  (22,26) type=1 normal           Item= 269 addl=0
  (23,26) type=1 normal           Item=  -1 addl=0
  (24,26) type=1 normal           Item=  -1 addl=0
  (26,26) type=7 pillar           Item=  17 addl=0
  (27,26) type=1 normal           Item= 270 addl=0
  (29,26) type=1 normal           Item= 271 addl=0
  ( 4,27) type=7 pillar           Item=   8 addl=0
  ( 6,27) type=7 pillar           Item=   3 addl=0
  ( 9,27) type=1 normal           Item=  -1 addl=0
  (12,27) type=1 normal           Item=  52 addl=0
  (14,27) type=1 normal           Item=  28 addl=0
  (15,27) type=1 normal           Item= 272 addl=0
  (16,27) type=1 normal           Item=  -1 addl=0
  (18,27) type=1 normal           Item= 273 addl=0
  (19,27) type=1 normal           Item= 274 addl=0
  (20,27) type=1 normal           Item=  -1 addl=0
  (22,27) type=1 normal           Item=  -1 addl=0
  (29,27) type=1 normal           Item=  -1 addl=0
  ( 8,28) type=1 normal           Item= 275 addl=0
  ( 9,28) type=1 normal           Item=  -1 addl=0
  (10,28) type=1 normal           Item= 276 addl=0
  (12,28) type=1 normal           Item=  -1 addl=0
  (13,28) type=1 normal           Item=  -1 addl=0
  (14,28) type=1 normal           Item=  -1 addl=0
  (16,28) type=1 normal           Item= 277 addl=0
  (17,28) type=1 normal           Item= 278 addl=0
  (18,28) type=1 normal           Item= 279 addl=0
  (20,28) type=1 normal           Item= 280 addl=0
  (21,28) type=1 normal           Item=  -1 addl=0
  (22,28) type=1 normal           Item= 281 addl=0
  (23,28) type=1 normal           Item=  -1 addl=0
  (25,28) type=1 normal           Item=  61 addl=0
  (27,28) type=1 normal           Item=  58 addl=0
  (28,28) type=1 normal           Item= 283 addl=0
  (29,28) type=1 normal           Item= 284 addl=0
  ( 7,29) type=1 normal           Item=  51 addl=0
  ( 8,29) type=1 normal           Item=  -1 addl=0
  (10,29) type=1 normal           Item=  -1 addl=0
  (11,29) type=1 normal           Item= 285 addl=0
  (12,29) type=1 normal           Item= 286 addl=0
  (16,29) type=1 normal           Item=  -1 addl=0
  (20,29) type=1 normal           Item= 287 addl=0
  (24,29) type=1 normal           Item= 336 addl=0
  (25,29) type=1 normal           Item= 328 addl=0
  (28,29) type=1 normal           Item= 288 addl=0
  (14,30) type=1 normal           Item=  55 addl=0
  (15,30) type=1 normal           Item= 290 addl=0
  (16,30) type=1 normal           Item= 291 addl=0
  (17,30) type=1 normal           Item=  53 addl=0
  (19,30) type=1 normal           Item=  -1 addl=0
  (20,30) type=1 normal           Item= 292 addl=0
  (21,30) type=1 normal           Item= 293 addl=0
  (22,30) type=1 normal           Item=  -1 addl=0

=== L10 Feel the Power  sealed=569 ===
  ( 4, 1) type=1 normal           Item= 356 addl=0
  ( 5, 1) type=1 normal           Item=  -1 addl=0
  ( 8, 1) type=1 normal           Item=  -1 addl=0
  ( 9, 1) type=1 normal           Item=   7 addl=0
  (15, 1) type=1 normal           Item=  -1 addl=0
  (16, 1) type=1 normal           Item=  -1 addl=0
  (17, 1) type=1 normal           Item=  -1 addl=0
  (18, 1) type=1 normal           Item=   8 addl=0
  (19, 1) type=1 normal           Item=   9 addl=0
  (20, 1) type=1 normal           Item=  -1 addl=0
  (21, 1) type=1 normal           Item=  -1 addl=0
  (22, 1) type=1 normal           Item=  -1 addl=0
  (23, 1) type=1 normal           Item=  10 addl=0
  (24, 1) type=1 normal           Item=  11 addl=0
  (26, 1) type=1 normal           Item= 350 addl=0
  (27, 1) type=1 normal           Item= 382 addl=0
  ( 4, 2) type=1 normal           Item= 358 addl=0
  ( 5, 2) type=1 normal           Item= 357 addl=0
  ( 8, 2) type=1 normal           Item=  -1 addl=0
  ( 9, 2) type=1 normal           Item=  -1 addl=0
  (15, 2) type=1 normal           Item=  14 addl=0
  (16, 2) type=1 normal           Item= 371 addl=0
  (17, 2) type=1 normal           Item=  16 addl=0
  (18, 2) type=1 normal           Item=  -1 addl=0
  (19, 2) type=1 normal           Item=  17 addl=0
  (20, 2) type=1 normal           Item=  18 addl=0
  (21, 2) type=1 normal           Item=  19 addl=0
  (22, 2) type=1 normal           Item=  -1 addl=0
  (23, 2) type=1 normal           Item=  -1 addl=0
  (24, 2) type=1 normal           Item=  -1 addl=0
  (26, 2) type=1 normal           Item= 352 addl=0
  (27, 2) type=1 normal           Item=  21 addl=0
  ( 4, 3) type=1 normal           Item=  -1 addl=0
  ( 5, 3) type=1 normal           Item=  -1 addl=0
  ( 6, 3) type=1 normal           Item=  22 addl=0
  ( 7, 3) type=1 normal           Item=  23 addl=0
  ( 8, 3) type=1 normal           Item=  24 addl=0
  ( 9, 3) type=1 normal           Item=  25 addl=0
  (10, 3) type=1 normal           Item=  26 addl=0
  (11, 3) type=1 normal           Item=  27 addl=0
  (15, 3) type=1 normal           Item=  -1 addl=0
  (16, 3) type=1 normal           Item=  -1 addl=0
  (23, 3) type=1 normal           Item=  28 addl=0
  (24, 3) type=1 normal           Item=  29 addl=0
  (26, 3) type=1 normal           Item=  30 addl=0
  (27, 3) type=1 normal           Item=  31 addl=0
  ( 4, 4) type=1 normal           Item=  32 addl=0
  ( 5, 4) type=1 normal           Item=  -1 addl=0
  ( 6, 4) type=1 normal           Item=  -1 addl=0
  ( 7, 4) type=1 normal           Item=  33 addl=0
  ( 8, 4) type=1 normal           Item=  -1 addl=0
  ( 9, 4) type=1 normal           Item=  -1 addl=0
  (10, 4) type=1 normal           Item=  -1 addl=0
  (11, 4) type=1 normal           Item=  -1 addl=0
  (15, 4) type=1 normal           Item=  34 addl=0
  (16, 4) type=1 normal           Item=  35 addl=0
  (18, 4) type=1 normal           Item= 354 addl=0
  (19, 4) type=1 normal           Item= 353 addl=0
  (23, 4) type=1 normal           Item=  38 addl=0
  (24, 4) type=1 normal           Item=  39 addl=0
  (26, 4) type=1 normal           Item=  40 addl=0
  (27, 4) type=1 normal           Item=  -1 addl=0
  ( 1, 5) type=1 normal           Item= 367 addl=0
  ( 2, 5) type=1 normal           Item= 366 addl=0
  ( 3, 5) type=1 normal           Item=  43 addl=0
  ( 4, 5) type=1 normal           Item=  44 addl=0
  ( 5, 5) type=1 normal           Item=  45 addl=0
  (10, 5) type=1 normal           Item=  -1 addl=0
  (11, 5) type=1 normal           Item=  -1 addl=0
  (12, 5) type=1 normal           Item=  46 addl=0
  (13, 5) type=1 normal           Item=  -1 addl=0
  (14, 5) type=1 normal           Item=  47 addl=0
  (15, 5) type=1 normal           Item=  48 addl=0
  (16, 5) type=1 normal           Item=  49 addl=0
  (18, 5) type=1 normal           Item=  50 addl=0
  (19, 5) type=1 normal           Item= 355 addl=0
  (23, 5) type=1 normal           Item=  -1 addl=0
  (24, 5) type=1 normal           Item=  -1 addl=0
  (26, 5) type=1 normal           Item=  -1 addl=0
  (27, 5) type=1 normal           Item=  -1 addl=0
  ( 2, 6) type=1 normal           Item= 365 addl=0
  ( 3, 6) type=1 normal           Item=  -1 addl=0
  ( 4, 6) type=1 normal           Item=  52 addl=0
  ( 5, 6) type=1 normal           Item=  -1 addl=0
  ( 7, 6) type=1 normal           Item= 363 addl=0
  (10, 6) type=1 normal           Item=  54 addl=0
  (11, 6) type=1 normal           Item=  -1 addl=0
  (12, 6) type=1 normal           Item=  -1 addl=0
  (13, 6) type=1 normal           Item=  -1 addl=0
  (14, 6) type=1 normal           Item=  -1 addl=0
  (15, 6) type=1 normal           Item=  -1 addl=0
  (16, 6) type=1 normal           Item=  55 addl=0
  (18, 6) type=1 normal           Item=  -1 addl=0
  (19, 6) type=1 normal           Item=  -1 addl=0
  (23, 6) type=1 normal           Item=  56 addl=0
  (24, 6) type=1 normal           Item=  57 addl=0
  (26, 6) type=1 normal           Item=  -1 addl=0
  (27, 6) type=1 normal           Item=  58 addl=0
  (28, 6) type=1 normal           Item=  59 addl=0
  (29, 6) type=1 normal           Item=  60 addl=0
  (30, 6) type=1 normal           Item= 304 addl=0
  ( 4, 7) type=1 normal           Item=  61 addl=0
  ( 5, 7) type=1 normal           Item=  -1 addl=0
  ( 7, 7) type=1 normal           Item= 364 addl=0
  ( 8, 7) type=1 normal           Item=  62 addl=0
  (10, 7) type=1 normal           Item=  63 addl=0
  (11, 7) type=1 normal           Item=  64 addl=0
  (15, 7) type=1 normal           Item=  65 addl=0
  (16, 7) type=1 normal           Item=  66 addl=0
  (18, 7) type=1 normal           Item=  67 addl=0
  (19, 7) type=1 normal           Item=  -1 addl=0
  (20, 7) type=1 normal           Item=  -1 addl=0
  (21, 7) type=1 normal           Item=  68 addl=0
  (22, 7) type=1 normal           Item=  69 addl=0
  (23, 7) type=1 normal           Item=  70 addl=0
  (24, 7) type=1 normal           Item=  71 addl=0
  (26, 7) type=1 normal           Item=  -1 addl=0
  (27, 7) type=1 normal           Item=  72 addl=0
  (28, 7) type=1 normal           Item=  73 addl=0
  (29, 7) type=1 normal           Item=  74 addl=0
  (30, 7) type=1 normal           Item=  -1 addl=0
  ( 1, 8) type=1 normal           Item= 381 addl=0
  ( 2, 8) type=1 normal           Item= 368 addl=0
  ( 4, 8) type=1 normal           Item=  77 addl=0
  ( 5, 8) type=1 normal           Item=  -1 addl=0
  ( 7, 8) type=1 normal           Item=  78 addl=0
  ( 8, 8) type=1 normal           Item=  -1 addl=0
  (10, 8) type=1 normal           Item=  -1 addl=0
  (11, 8) type=1 normal           Item=  -1 addl=0
  (15, 8) type=1 normal           Item=  79 addl=0
  (16, 8) type=1 normal           Item=  80 addl=0
  (18, 8) type=1 normal           Item=  81 addl=0
  (19, 8) type=1 normal           Item=  82 addl=0
  (20, 8) type=1 normal           Item=  83 addl=0
  (21, 8) type=1 normal           Item=  84 addl=0
  (22, 8) type=1 normal           Item=  -1 addl=0
  (23, 8) type=1 normal           Item=  -1 addl=0
  (24, 8) type=1 normal           Item=  85 addl=0
  (26, 8) type=1 normal           Item=  86 addl=0
  (27, 8) type=1 normal           Item=  87 addl=0
  ( 1, 9) type=1 normal           Item= 370 addl=0
  ( 2, 9) type=1 normal           Item=  -1 addl=0
  ( 7, 9) type=1 normal           Item=  -1 addl=0
  ( 8, 9) type=1 normal           Item=  -1 addl=0
  (15, 9) type=1 normal           Item=  88 addl=0
  (16, 9) type=1 normal           Item=  -1 addl=0
  (20, 9) type=1 normal           Item=  -1 addl=0
  (21, 9) type=1 normal           Item=  -1 addl=0
  (26, 9) type=1 normal           Item=  -1 addl=0
  (27, 9) type=1 normal           Item=  89 addl=0
  ( 1,10) type=1 normal           Item=  90 addl=0
  ( 2,10) type=1 normal           Item=  91 addl=0
  ( 3,10) type=1 normal           Item=  -1 addl=0
  ( 4,10) type=1 normal           Item=  -1 addl=0
  ( 5,10) type=1 normal           Item=  -1 addl=0
  ( 7,10) type=1 normal           Item=  92 addl=0
  ( 8,10) type=1 normal           Item=  -1 addl=0
  ( 9,10) type=1 normal           Item=  93 addl=0
  (10,10) type=1 normal           Item=  -1 addl=0
  (11,10) type=1 normal           Item=  94 addl=0
  (12,10) type=1 normal           Item=  -1 addl=0
  (13,10) type=1 normal           Item=  -1 addl=0
  (14,10) type=1 normal           Item=  -1 addl=0
  (15,10) type=1 normal           Item=  95 addl=0
  (16,10) type=1 normal           Item=  -1 addl=0
  (17,10) type=1 normal           Item=  96 addl=0
  (18,10) type=1 normal           Item=  -1 addl=0
  (20,10) type=1 normal           Item=  -1 addl=0
  (21,10) type=1 normal           Item=  97 addl=0
  (23,10) type=1 normal           Item=  -1 addl=0
  (24,10) type=1 normal           Item=  -1 addl=0
  (25,10) type=1 normal           Item=  98 addl=0
  (26,10) type=1 normal           Item=  -1 addl=0
  (27,10) type=1 normal           Item=  99 addl=0
  (28,10) type=1 normal           Item=  -1 addl=0
  (29,10) type=1 normal           Item=  -1 addl=0
  (30,10) type=1 normal           Item= 100 addl=0
  ( 1,11) type=1 normal           Item=  -1 addl=0
  ( 2,11) type=1 normal           Item= 101 addl=0
  ( 3,11) type=1 normal           Item= 102 addl=0
  ( 4,11) type=1 normal           Item=  -1 addl=0
  ( 5,11) type=1 normal           Item=  -1 addl=0
  ( 7,11) type=1 normal           Item=  -1 addl=0
  ( 8,11) type=1 normal           Item= 103 addl=0
  ( 9,11) type=1 normal           Item= 104 addl=0
  (10,11) type=1 normal           Item= 105 addl=0
  (11,11) type=1 normal           Item= 106 addl=0
  (12,11) type=1 normal           Item= 107 addl=0
  (13,11) type=1 normal           Item= 108 addl=0
  (14,11) type=1 normal           Item= 109 addl=0
  (15,11) type=1 normal           Item=  -1 addl=0
  (16,11) type=1 normal           Item=  -1 addl=0
  (17,11) type=1 normal           Item=  -1 addl=0
  (18,11) type=1 normal           Item=  -1 addl=0
  (20,11) type=1 normal           Item= 110 addl=0
  (21,11) type=1 normal           Item=  -1 addl=0
  (23,11) type=1 normal           Item= 111 addl=0
  (24,11) type=1 normal           Item=  -1 addl=0
  (25,11) type=1 normal           Item=  -1 addl=0
  (26,11) type=1 normal           Item=  -1 addl=0
  (27,11) type=1 normal           Item=  -1 addl=0
  (28,11) type=1 normal           Item=  -1 addl=0
  (29,11) type=1 normal           Item= 112 addl=0
  (30,11) type=1 normal           Item=  -1 addl=0
  ( 4,12) type=1 normal           Item= 113 addl=0
  ( 5,12) type=1 normal           Item=  -1 addl=0
  (20,12) type=1 normal           Item= 114 addl=0
  (21,12) type=1 normal           Item= 115 addl=0
  (29,12) type=1 normal           Item= 116 addl=0
  (30,12) type=1 normal           Item= 117 addl=0
  ( 1,13) type=1 normal           Item= 335 addl=0
  ( 2,13) type=1 normal           Item= 336 addl=0
  ( 4,13) type=1 normal           Item= 119 addl=0
  ( 5,13) type=1 normal           Item=  -1 addl=0
  ( 6,13) type=1 normal           Item=  -1 addl=0
  ( 7,13) type=1 normal           Item=  -1 addl=0
  ( 8,13) type=1 normal           Item= 120 addl=0
  ( 9,13) type=1 normal           Item= 121 addl=0
  (10,13) type=1 normal           Item= 122 addl=0
  (11,13) type=1 normal           Item=  -1 addl=0
  (12,13) type=1 normal           Item= 123 addl=0
  (13,13) type=1 normal           Item= 141 addl=0
  (14,13) type=1 normal           Item= 125 addl=0
  (15,13) type=1 normal           Item= 126 addl=0
  (16,13) type=1 normal           Item=  -1 addl=0
  (17,13) type=1 normal           Item=  -1 addl=0
  (18,13) type=1 normal           Item= 127 addl=0
  (19,13) type=1 normal           Item=  -1 addl=0
  (20,13) type=1 normal           Item= 360 addl=0
  (21,13) type=1 normal           Item= 359 addl=0
  (22,13) type=1 normal           Item=  -1 addl=0
  (23,13) type=1 normal           Item=  -1 addl=0
  (24,13) type=1 normal           Item= 128 addl=0
  (25,13) type=1 normal           Item= 129 addl=0
  (26,13) type=1 normal           Item=  -1 addl=0
  (29,13) type=1 normal           Item= 130 addl=0
  (30,13) type=1 normal           Item= 374 addl=0
  ( 1,14) type=1 normal           Item= 132 addl=0
  ( 2,14) type=1 normal           Item= 337 addl=0
  ( 4,14) type=1 normal           Item= 134 addl=0
  ( 5,14) type=1 normal           Item= 135 addl=0
  ( 6,14) type=1 normal           Item= 136 addl=0
  ( 7,14) type=1 normal           Item= 137 addl=0
  ( 8,14) type=1 normal           Item= 138 addl=0
  ( 9,14) type=1 normal           Item=  -1 addl=0
  (10,14) type=1 normal           Item=  -1 addl=0
  (11,14) type=1 normal           Item=  -1 addl=0
  (12,14) type=1 normal           Item= 372 addl=0
  (13,14) type=1 normal           Item= 140 addl=0
  (14,14) type=6 corpse           Item= 379 addl=11
  (15,14) type=1 normal           Item= 380 addl=0
  (16,14) type=1 normal           Item= 142 addl=0
  (17,14) type=1 normal           Item=  -1 addl=0
  (18,14) type=1 normal           Item=  -1 addl=0
  (19,14) type=1 normal           Item= 143 addl=0
  (20,14) type=1 normal           Item= 361 addl=0
  (21,14) type=1 normal           Item=  -1 addl=0
  (22,14) type=1 normal           Item= 145 addl=0
  (23,14) type=1 normal           Item= 146 addl=0
  (24,14) type=1 normal           Item= 147 addl=0
  (25,14) type=1 normal           Item=  -1 addl=0
  (26,14) type=1 normal           Item= 148 addl=0
  (29,14) type=1 normal           Item= 149 addl=0
  (30,14) type=1 normal           Item= 150 addl=0
  ( 1,15) type=1 normal           Item=  -1 addl=0
  ( 2,15) type=1 normal           Item= 151 addl=0
  (11,15) type=1 normal           Item=  -1 addl=0
  (12,15) type=1 normal           Item= 152 addl=0
  (20,15) type=1 normal           Item=  -1 addl=0
  (21,15) type=1 normal           Item= 153 addl=0
  (25,15) type=1 normal           Item=  -1 addl=0
  (26,15) type=1 normal           Item=  -1 addl=0
  (29,15) type=1 normal           Item= 154 addl=0
  (30,15) type=1 normal           Item= 155 addl=0
  ( 1,16) type=1 normal           Item=  -1 addl=0
  ( 2,16) type=1 normal           Item= 156 addl=0
  ( 3,16) type=1 normal           Item=  -1 addl=0
  ( 4,16) type=1 normal           Item= 157 addl=0
  ( 5,16) type=1 normal           Item= 158 addl=0
  ( 6,16) type=1 normal           Item=  -1 addl=0
  ( 7,16) type=1 normal           Item=  -1 addl=0
  ( 8,16) type=1 normal           Item= 159 addl=0
  ( 9,16) type=1 normal           Item= 160 addl=0
  (11,16) type=1 normal           Item=  -1 addl=0
  (12,16) type=1 normal           Item=  -1 addl=0
  (14,16) type=1 normal           Item=  -1 addl=0
  (15,16) type=1 normal           Item= 161 addl=0
  (16,16) type=1 normal           Item=  -1 addl=0
  (17,16) type=1 normal           Item= 343 addl=0
  (18,16) type=1 normal           Item= 341 addl=0
  (20,16) type=1 normal           Item=  -1 addl=0
  (21,16) type=1 normal           Item=  -1 addl=0
  (25,16) type=1 normal           Item=  -1 addl=0
  (26,16) type=1 normal           Item=  -1 addl=0
  (27,16) type=1 normal           Item=  -1 addl=0
  (28,16) type=1 normal           Item= 162 addl=0
  (29,16) type=1 normal           Item= 163 addl=0
  (30,16) type=1 normal           Item= 164 addl=0
  ( 1,17) type=1 normal           Item= 165 addl=0
  ( 2,17) type=1 normal           Item= 166 addl=0
  ( 3,17) type=1 normal           Item= 167 addl=0
  ( 4,17) type=1 normal           Item= 168 addl=0
  ( 5,17) type=1 normal           Item=  -1 addl=0
  ( 6,17) type=1 normal           Item= 169 addl=0
  ( 7,17) type=1 normal           Item=  -1 addl=0
  ( 8,17) type=1 normal           Item= 170 addl=0
  ( 9,17) type=1 normal           Item= 171 addl=0
  (11,17) type=1 normal           Item=  -1 addl=0
  (12,17) type=1 normal           Item=  -1 addl=0
  (14,17) type=1 normal           Item= 172 addl=0
  (15,17) type=1 normal           Item= 173 addl=0
  (16,17) type=1 normal           Item= 174 addl=0
  (17,17) type=1 normal           Item= 175 addl=0
  (18,17) type=1 normal           Item= 342 addl=0
  (20,17) type=1 normal           Item=  -1 addl=0
  (21,17) type=1 normal           Item= 176 addl=0
  (25,17) type=1 normal           Item= 177 addl=0
  (26,17) type=1 normal           Item= 178 addl=0
  (27,17) type=1 normal           Item=  -1 addl=0
  (28,17) type=1 normal           Item=  -1 addl=0
  (29,17) type=1 normal           Item= 179 addl=0
  (30,17) type=1 normal           Item= 180 addl=0
  ( 1,18) type=1 normal           Item= 181 addl=0
  ( 2,18) type=1 normal           Item= 182 addl=0
  ( 6,18) type=1 normal           Item= 183 addl=0
  ( 7,18) type=1 normal           Item= 184 addl=0
  (11,18) type=1 normal           Item=  -1 addl=0
  (12,18) type=1 normal           Item=  -1 addl=0
  (14,18) type=1 normal           Item= 185 addl=0
  (15,18) type=1 normal           Item= 186 addl=0
  (20,18) type=1 normal           Item=  -1 addl=0
  (21,18) type=1 normal           Item= 187 addl=0
  ( 1,19) type=1 normal           Item= 188 addl=0
  ( 2,19) type=1 normal           Item= 189 addl=0
  ( 6,19) type=1 normal           Item= 190 addl=0
  ( 7,19) type=1 normal           Item=  -1 addl=0
  (11,19) type=1 normal           Item=  -1 addl=0
  (12,19) type=1 normal           Item= 191 addl=0
  (14,19) type=1 normal           Item= 192 addl=0
  (15,19) type=1 normal           Item= 193 addl=0
  (17,19) type=1 normal           Item= 194 addl=0
  (18,19) type=1 normal           Item=  -1 addl=0
  (19,19) type=1 normal           Item=  -1 addl=0
  (20,19) type=1 normal           Item=  -1 addl=0
  (21,19) type=1 normal           Item=  -1 addl=0
  (22,19) type=1 normal           Item= 195 addl=0
  (23,19) type=1 normal           Item=  -1 addl=0
  (24,19) type=1 normal           Item=  -1 addl=0
  (25,19) type=1 normal           Item= 196 addl=0
  (26,19) type=1 normal           Item= 197 addl=0
  (27,19) type=1 normal           Item= 198 addl=0
  (28,19) type=1 normal           Item= 199 addl=0
  (29,19) type=1 normal           Item= 349 addl=0
  (30,19) type=1 normal           Item= 348 addl=0
  ( 1,20) type=1 normal           Item= 200 addl=0
  ( 2,20) type=1 normal           Item= 201 addl=0
  ( 4,20) type=1 normal           Item= 339 addl=0
  ( 5,20) type=1 normal           Item= 203 addl=0
  ( 6,20) type=1 normal           Item= 204 addl=0
  ( 7,20) type=1 normal           Item=  -1 addl=0
  ( 8,20) type=1 normal           Item=  -1 addl=0
  ( 9,20) type=1 normal           Item=  -1 addl=0
  (10,20) type=1 normal           Item=  -1 addl=0
  (11,20) type=1 normal           Item= 205 addl=0
  (12,20) type=1 normal           Item= 206 addl=0
  (14,20) type=1 normal           Item= 207 addl=0
  (15,20) type=1 normal           Item=  -1 addl=0
  (17,20) type=1 normal           Item= 208 addl=0
  (18,20) type=1 normal           Item= 373 addl=0
  (19,20) type=1 normal           Item= 209 addl=0
  (20,20) type=1 normal           Item=  -1 addl=0
  (21,20) type=1 normal           Item=  -1 addl=0
  (22,20) type=1 normal           Item= 210 addl=0
  (23,20) type=1 normal           Item=  -1 addl=0
  (24,20) type=1 normal           Item=  -1 addl=0
  (25,20) type=1 normal           Item= 211 addl=0
  (26,20) type=1 normal           Item= 212 addl=0
  (27,20) type=1 normal           Item= 213 addl=0
  (28,20) type=1 normal           Item= 214 addl=0
  (29,20) type=1 normal           Item=  -1 addl=0
  (30,20) type=1 normal           Item= 347 addl=0
  ( 1,21) type=1 normal           Item=  -1 addl=0
  ( 2,21) type=1 normal           Item=  -1 addl=0
  ( 4,21) type=1 normal           Item= 338 addl=0
  ( 5,21) type=1 normal           Item= 340 addl=0
  ( 6,21) type=1 normal           Item=  -1 addl=0
  ( 7,21) type=1 normal           Item=  -1 addl=0
  ( 8,21) type=1 normal           Item= 216 addl=0
  ( 9,21) type=1 normal           Item= 217 addl=0
  (10,21) type=1 normal           Item= 218 addl=0
  (11,21) type=1 normal           Item= 219 addl=0
  (12,21) type=1 normal           Item= 220 addl=0
  (14,21) type=1 normal           Item= 221 addl=0
  (15,21) type=1 normal           Item=  -1 addl=0
  (17,21) type=1 normal           Item= 222 addl=0
  (18,21) type=1 normal           Item= 223 addl=0
  (26,21) type=1 normal           Item= 224 addl=0
  (27,21) type=1 normal           Item= 225 addl=0
  ( 1,22) type=1 normal           Item= 226 addl=0
  ( 2,22) type=1 normal           Item= 227 addl=0
  (14,22) type=1 normal           Item=  -1 addl=0
  (15,22) type=1 normal           Item= 228 addl=0
  (17,22) type=1 normal           Item= 229 addl=0
  (18,22) type=1 normal           Item=  -1 addl=0
  (21,22) type=1 normal           Item= 231 addl=0
  (22,22) type=1 normal           Item= 232 addl=0
  (23,22) type=1 normal           Item= 233 addl=0
  (24,22) type=1 normal           Item= 234 addl=0
  (26,22) type=1 normal           Item=  -1 addl=0
  (27,22) type=1 normal           Item=  -1 addl=0
  ( 1,23) type=1 normal           Item=  -1 addl=0
  ( 2,23) type=1 normal           Item= 235 addl=0
  ( 3,23) type=1 normal           Item= 236 addl=0
  ( 4,23) type=1 normal           Item=   3 addl=0
  ( 6,23) type=1 normal           Item=  -1 addl=0
  ( 7,23) type=1 normal           Item=  -1 addl=0
  ( 8,23) type=1 normal           Item= 239 addl=0
  ( 9,23) type=1 normal           Item= 240 addl=0
  (10,23) type=1 normal           Item= 241 addl=0
  (11,23) type=1 normal           Item=  -1 addl=0
  (12,23) type=1 normal           Item=  -1 addl=0
  (13,23) type=1 normal           Item= 242 addl=0
  (14,23) type=1 normal           Item=  -1 addl=0
  (15,23) type=1 normal           Item= 243 addl=0
  (17,23) type=1 normal           Item= 244 addl=0
  (18,23) type=1 normal           Item=  -1 addl=0
  (20,23) type=1 normal           Item= 344 addl=0
  (21,23) type=1 normal           Item= 346 addl=0
  (22,23) type=1 normal           Item= 247 addl=0
